length,rapidfuzz,jellyfish
1,7.836175063857809e-08,1.3332700109458527e-07
5,1.1307299973850604e-07,1.4086975170357618e-07
9,1.2354924911051058e-07,1.7271749857172834e-07
13,1.3577149911725428e-07,2.3431750014424323e-07
17,1.4017149987921583e-07,3.2860324972716624e-07
21,1.5246349903463853e-07,4.715682498499518e-07
25,1.5686349979660008e-07,6.667050001851749e-07
29,1.6517474978172685e-07,8.763685000303667e-07
33,1.7222849965037313e-07,1.1148065004817908e-06
37,1.8340325004828628e-07,1.3709147515328368e-06
41,1.9122549929306843e-07,1.6363815011573023e-06
45,2.0149225019849836e-07,1.9210544996894894e-06
49,2.0700949971796946e-07,2.236737000202993e-06
53,2.2230475042306352e-07,2.5798674996622138e-06
57,2.2921924937691075e-07,2.911473749918514e-06
61,2.413714992144378e-07,3.2846354988578242e-06
65,7.330540011025733e-07,3.6877595011901577e-06
69,7.990542508196085e-07,4.083969250132214e-06
73,8.441017507720971e-07,4.495264500292251e-06
77,8.955050016083988e-07,4.933448750307434e-06
81,9.358035003970144e-07,5.371702749471296e-06
85,9.84552500085556e-07,5.801156999950763e-06
89,1.0277844994561746e-06,6.255684000279871e-06
93,1.0739495010056998e-06,6.71321425033966e-06
97,1.1179494995303684e-06,7.180242999311303e-06
101,1.1576889992284123e-06,7.669970251299674e-06
105,1.1928192488994683e-06,8.18602725121309e-06
109,1.2448509987734724e-06,8.684903748871875e-06
113,1.279492249523173e-06,9.188738749799085e-06
117,1.3224447502580005e-06,9.751659248649957e-06
121,1.3547812486649491e-06,1.0259196251354297e-05
125,1.4060447483643657e-06,1.0785590000523371e-05
129,1.6266034999716795e-06,
133,1.6855494995979825e-06,
137,1.7183052514155861e-06,
141,1.7733402510202723e-06,
145,1.8204830012109595e-06,
149,1.8598734986881026e-06,
153,1.902127500216011e-06,
157,1.9529019991750827e-06,
161,1.9887307498720473e-06,
165,2.0281910001358483e-06,
169,2.0714924994535976e-06,
173,2.113397249559057e-06,
177,2.144267251424026e-06,
181,2.192946500144899e-06,
185,2.2301720000541537e-06,
189,2.269981499921414e-06,
193,2.512610000849236e-06,
197,2.5649910003266997e-06,
201,2.6142990009248023e-06,
205,2.6734544990176802e-06,
209,2.716057750149048e-06,
213,2.76683224910812e-06,
217,2.8175370007375024e-06,
221,2.860349999536993e-06,
225,2.9138482495909558e-06,
229,2.962038748592022e-06,
233,3.000730999701773e-06,
237,3.044870500161778e-06,
241,3.0834927511023125e-06,
245,3.1356642502942123e-06,
249,3.178477001711144e-06,
253,3.220381749997614e-06,
