length,rapidfuzz,jellyfish
1,7.857150012569037e-08,1.2815849913749845e-07
5,1.1488874952192419e-07,1.4017125067766757e-07
9,1.2676199912675655e-07,1.785139993444318e-07
13,1.423367502866313e-07,2.4039325035118963e-07
17,1.4652699974249118e-07,3.3258350049436556e-07
21,1.5365100080089178e-07,4.774339995492483e-07
25,1.6412700097134803e-07,6.668432488368125e-07
29,1.7006375128403305e-07,8.738525011722232e-07
33,1.7928250053955707e-07,1.1159217501699458e-06
37,1.8570774955151136e-07,1.3561752493842505e-06
41,1.939492503879592e-07,1.6179400008695666e-06
45,2.091747501253849e-07,1.9100855006399796e-06
49,2.1566975010500754e-07,2.2220657501748064e-06
53,2.2628575061389712e-07,2.5580017500033137e-06
57,2.3333975150308105e-07,2.8967312500753904e-06
61,2.459810002619633e-07,3.265492501668632e-06
65,7.216700014396337e-07,3.6526219992083496e-06
69,7.731429996056249e-07,4.055744999277522e-06
73,8.195875016099308e-07,4.4776554987038256e-06
77,8.742732516111573e-07,4.899845000181813e-06
81,9.307050004281336e-07,5.3304157499951545e-06
85,9.639495001465547e-07,5.74953249997634e-06
89,1.0122795010829577e-06,6.1980525006219975e-06
93,1.0529252504056786e-06,6.662216501354123e-06
97,1.0948997496598168e-06,7.133434750357992e-06
101,1.1192045003554085e-06,7.623300749401096e-06
105,1.1771997487812768e-06,8.094378999885521e-06
109,1.225391501066042e-06,8.602683001299738e-06
113,1.2529792493296554e-06,9.10058050067164e-06
117,1.297123750191531e-06,9.656166748754912e-06
121,1.3444050000543938e-06,1.0160839001400746e-05
125,1.3840737501595868e-06,1.0663974499038887e-05
129,1.6038875000958797e-06,
133,1.662693250182201e-06,
137,1.7112325003836303e-06,
141,1.755860499542905e-06,
145,1.800279000235605e-06,
149,1.8414850001136073e-06,
153,1.8794782499753637e-06,
157,1.91782074944058e-06,
161,1.9695724986377173e-06,
165,2.004423000471434e-06,
169,2.0457685004657835e-06,
173,2.0824347502639285e-06,
177,2.1295772512530677e-06,
181,2.1730179996666267e-06,
185,2.207240000643651e-06,
189,2.2659057503915394e-06,
193,2.4563607494201276e-06,
197,2.5219409999408526e-06,
201,2.581585000370978e-06,
205,2.6281687496521045e-06,
209,2.6815964993147646e-06,
213,2.727551749558188e-06,
217,2.774903750832891e-06,
221,2.816109248669818e-06,
225,2.8696769986709115e-06,
229,2.9265972498251356e-06,
233,2.9733902501902777e-06,
237,3.013688250575797e-06,
241,3.064070499021909e-06,
245,3.0886547501722816e-06,
249,3.13991800067015e-06,
253,3.1856639998295576e-06,
