length,rapidfuzz,python-Levenshtein
1,1.2468099885154517e-07,1.0524900062591769e-07
3,1.3070699787931517e-07,1.4172100054565818e-07
5,1.376649997837376e-07,1.6557599883526564e-07
7,1.423840003553778e-07,1.9732100190594793e-07
9,1.4730299881193786e-07,2.3082799816620536e-07
11,1.5495200204895808e-07,2.8296399977989493e-07
13,1.6093800149974413e-07,3.063600015593693e-07
15,1.6728799892007374e-07,4.2989499706891366e-07
17,1.73566000739811e-07,4.978910001227632e-07
19,1.8033800006378442e-07,5.746030001319014e-07
21,1.869509978860151e-07,5.730039993068204e-07
23,1.9280099877505563e-07,6.615389975195284e-07
25,1.9892199998139403e-07,7.551790004072245e-07
27,2.0476099962252193e-07,8.575210013077595e-07
29,2.1009199917898513e-07,9.70551001955755e-07
31,2.1750599989900364e-07,1.1884669984283391e-06
33,2.2445500144385732e-07,1.3859749997209292e-06
35,2.465420002408791e-07,1.5269529976649209e-06
37,2.3682500250288286e-07,1.694680999207776e-06
39,2.4279399804072457e-07,1.7842809975263662e-06
41,2.494870022928808e-07,2.0377930013637525e-06
43,2.5495099907857365e-07,2.22583299910184e-06
45,2.6129300022148525e-07,2.4161880028259475e-06
47,2.674850002222229e-07,2.5204009980370755e-06
49,2.7427799795987084e-07,2.8303500002948568e-06
51,2.8008099980070255e-07,2.9500000018742867e-06
53,2.858629995898809e-07,3.175680001731962e-06
55,2.914520009653643e-07,3.448655999818584e-06
57,2.981799989356659e-07,3.7015720008639617e-06
59,3.03971999528585e-07,4.022116998385172e-06
61,3.098369998042472e-07,4.168318002484739e-06
63,3.158210020046681e-07,4.442164001375204e-06
65,1.0491019966138993e-06,4.725435999716865e-06
67,1.0886290001508314e-06,5.015237999032252e-06
69,1.1150500031362752e-06,5.302932000631699e-06
71,1.1387689992261585e-06,5.6032380016404205e-06
73,1.1649619991658255e-06,5.913788998441305e-06
75,1.181684001494432e-06,6.205016001331387e-06
77,1.2148690002504736e-06,6.7056199986836874e-06
79,1.2383309986034873e-06,6.861327998194611e-06
81,1.3082799996482208e-06,7.202180000604131e-06
83,1.4248540028347634e-06,7.767548002448165e-06
85,1.422738001565449e-06,7.941087998915464e-06
87,1.450416999432491e-06,8.280346999526955e-06
89,1.5645239982404746e-06,8.693921998201404e-06
91,1.5476300031878053e-06,9.015847001137445e-06
93,1.5512939971813466e-06,9.27098000101978e-06
95,1.6289170016534626e-06,9.883511997031746e-06
97,1.6473529976792634e-06,1.0306655000022148e-05
99,1.6678770007274579e-06,1.0720752001361688e-05
101,1.701962999504758e-06,1.1172553000506014e-05
103,1.7424110010324511e-06,1.1588848999963375e-05
105,1.7684420017758384e-06,1.2029535999317887e-05
107,1.796177002688637e-06,1.2479967997933272e-05
109,1.81574499947601e-06,1.29443390032975e-05
111,1.8369239987805487e-06,1.3434120999590959e-05
113,1.8487369998183567e-06,1.3986853002279531e-05
115,1.8867140024667605e-06,1.4473731000180123e-05
117,1.9749730017792897e-06,1.497004900011234e-05
119,1.949879002495436e-06,1.589433499975712e-05
121,1.976345000002766e-06,1.6349208999599794e-05
123,2.0034359986311756e-06,1.6501529000379376e-05
125,2.031471998634515e-06,1.7031809999025427e-05
127,2.0568289983202702e-06,1.757243300016853e-05
129,2.660693000507308e-06,1.8120761997124645e-05
131,2.704915001231711e-06,1.8666838001081488e-05
133,2.742181000940036e-06,1.9250337001722074e-05
135,2.7654069999698547e-06,1.9798255001660435e-05
137,2.8146959994046483e-06,2.0371348000480793e-05
139,2.848131000064313e-06,2.0973023001715774e-05
141,2.908540998760145e-06,2.1568209998804378e-05
