length,rapidfuzz,polyleven,python-Levenshtein,edlib,editdistance
1,1.36372502311133E-07,1.34193999656418E-07,8.80939996932284E-08,1.17339050002556E-06,1.84037500730483E-07
3,1.46050249895779E-07,1.43063999985316E-07,1.2584300020535E-07,1.44313840000905E-06,3.39884500135668E-07
5,1.54070497956127E-07,1.49474999943777E-07,1.43621999995958E-07,1.80773669999326E-06,5.73024000004807E-07
7,1.61939500685548E-07,1.54956999722344E-07,1.70445000094333E-07,2.09898749999411E-06,8.09755999398476E-07
9,1.71674251760123E-07,1.63334999797371E-07,2.09170000289305E-07,2.36072059997241E-06,1.04657799965935E-06
11,1.76319997990504E-07,1.72056999872439E-07,2.55741999808379E-07,2.60898229998929E-06,1.30297400028212E-06
13,1.8446049944032E-07,1.81002999852353E-07,3.20936999742116E-07,2.90610599995489E-06,1.67544899977656E-06
15,2.00159749510931E-07,1.90211000244744E-07,3.72295000033773E-07,3.19107320001422E-06,1.79519250013982E-06
17,2.03503252123483E-07,1.98930999886215E-07,4.47576000169647E-07,3.41243250004482E-06,1.99843399968813E-06
19,2.18630997551372E-07,2.07171000056405E-07,5.36680000095657E-07,3.56663060001665E-06,2.18834099996457E-06
21,2.21155500184977E-07,2.15625000237196E-07,6.41753999843786E-07,3.77671470005225E-06,2.4684364998393E-06
23,2.2987724878476E-07,2.23777999963204E-07,7.55123000089952E-07,4.05309870002384E-06,2.64371649973327E-06
25,2.39262499235338E-07,2.317939997738E-07,8.7721199997759E-07,4.25783540003977E-06,2.8498005003712E-06
27,2.48499502049526E-07,2.40035999922838E-07,1.01430199993047E-06,4.46967640000366E-06,3.05119199947512E-06
29,2.62373498117086E-07,2.48003000251629E-07,1.15653400007432E-06,4.30866039996545E-06,3.25111300026037E-06
31,2.64844249613816E-07,2.55903999914153E-07,1.34543500007567E-06,4.53537680004956E-06,3.47549799971603E-06
33,2.76535749435425E-07,2.65549999767245E-07,1.50965600005293E-06,4.67593210005362E-06,3.63646099958714E-06
35,2.89998246444156E-07,2.7340099995854E-07,1.68907599982049E-06,4.76874030000545E-06,3.83126199994877E-06
37,2.97467497148318E-07,2.81504000213317E-07,1.8901849998656E-06,4.90696329998173E-06,4.03323550017376E-06
39,3.0102224991424E-07,2.8942900007678E-07,2.08384500001557E-06,5.09358579993204E-06,4.2792960002771E-06
41,3.0909274937585E-07,3.08421999761776E-07,2.34501300019474E-06,5.26126800004931E-06,4.46128899966425E-06
43,3.23527750879293E-07,3.05785999898944E-07,2.57303399985176E-06,5.47856319999482E-06,4.62823850011773E-06
45,3.33459251123713E-07,3.1405400022777E-07,2.8007300002173E-06,5.70182279998335E-06,4.81603800017183E-06
47,3.35297248966526E-07,3.23022999964451E-07,3.04998499996145E-06,6.21868939997512E-06,5.03494999975374E-06
49,3.48005247360561E-07,3.30652000229747E-07,3.31462399981319E-06,6.52880570005436E-06,5.17124250018242E-06
51,3.52111248503206E-07,3.39513000199076E-07,3.59342499996274E-06,6.64697869997326E-06,5.36624100004701E-06
53,3.63792998541612E-07,3.46597000316251E-07,3.87513100031356E-06,6.6707645999486E-06,5.47250699946744E-06
55,3.77521999325836E-07,3.5553899988372E-07,4.24113300005047E-06,6.91030259995387E-06,5.63109799986705E-06
57,3.78223499865271E-07,3.62606000180676E-07,4.62592199983192E-06,7.14507239999875E-06,6.50198899984389E-06
59,3.90063250961248E-07,3.70950000160519E-07,5.16381799980081E-06,7.43162999997367E-06,6.48622150038136E-06
61,4.02676247176714E-07,3.80351999865525E-07,5.52567099975931E-06,7.56696130001728E-06,6.52059999993071E-06
63,4.1019674972631E-07,3.88206000025093E-07,6.03835600031744E-06,7.72583550005948E-06,6.89780650009197E-06
65,1.05980650187121E-06,1.62526499980231E-06,6.64677199983998E-06,1.20745747999536E-05,7.18068399964977E-06
67,1.10204775046441E-06,1.71600599969679E-06,6.86588799999299E-06,1.30066350000561E-05,7.45476849988336E-06
69,1.12985124724219E-06,1.7802259999371E-06,7.08482100026231E-06,1.3396385499982E-05,7.38858600016101E-06
71,1.16154050192563E-06,1.85110699976576E-06,7.65203700029815E-06,1.37066405000041E-05,7.8888759999245E-06
73,1.18111849951674E-06,1.90549300032217E-06,7.91896999999153E-06,1.3841394300016E-05,7.9395350003324E-06
75,1.21706149730016E-06,1.98435799984509E-06,8.16347399995721E-06,1.42236686000615E-05,8.12262700037536E-06
77,1.22423300126684E-06,2.04968100024416E-06,8.7285750000774E-06,1.42641379999986E-05,8.27697299973806E-06
79,1.26870375243016E-06,2.10831699996561E-06,9.06392500019138E-06,1.46918839000136E-05,8.26496250010678E-06
81,1.26477474987041E-06,2.18635900000663E-06,9.5648690003145E-06,1.44756490999498E-05,8.42381500024203E-06
83,1.30942699979642E-06,2.23523900012879E-06,9.9947520002388E-06,1.46801879999657E-05,8.57566749982652E-06
85,1.31909899937455E-06,2.30981300001076E-06,1.04696619996503E-05,1.4694576599959E-05,8.77090199992381E-06
87,1.36035725154215E-06,2.36009200034459E-06,1.09669989997201E-05,1.48364303000562E-05,8.90085850005562E-06
89,1.36311124879285E-06,2.41828900016117E-06,1.14698620000127E-05,1.50237959999686E-05,9.02481699995406E-06
91,1.3960184987809E-06,2.48084099985135E-06,1.1987027000032E-05,1.5219286699994E-05,9.39193999965937E-06
93,1.40671799817937E-06,2.55105399992317E-06,1.25879439997334E-05,1.53458848999435E-05,9.35837050019472E-06
95,1.46741299977293E-06,2.60382299984485E-06,1.31372690002536E-05,1.54785589999847E-05,9.56782349931018E-06
97,1.4735587501491E-06,2.678079999896E-06,1.37157039998783E-05,1.56304657999499E-05,9.83644150073815E-06
99,1.52530474952073E-06,2.72770999981731E-06,1.42948560001059E-05,1.56179444000372E-05,9.89537450004718E-06
101,1.53520000094431E-06,2.81584000003932E-06,1.48628649999409E-05,1.57153525000467E-05,1.02675035004722E-05
103,1.56618625260307E-06,2.87234399957015E-06,1.54653689996849E-05,1.58289289000095E-05,1.04305140002907E-05
105,1.58994199955487E-06,2.95137099965359E-06,1.6059492000295E-05,1.59124429999793E-05,1.06267145001766E-05
107,1.62218874902464E-06,3.00164300006145E-06,1.6665089000071E-05,1.59980530999746E-05,1.06562869996196E-05
109,1.63413874906837E-06,3.07454399990092E-06,1.72769139999218E-05,1.60949803000221E-05,1.08674769999197E-05
111,1.66068724865909E-06,3.1456659999094E-06,1.78931649998049E-05,1.61541337000017E-05,1.08659024999724E-05
113,1.68089950238937E-06,3.22085400011929E-06,1.85485259999041E-05,1.63653974000226E-05,1.12139550001302E-05
115,1.69921225096914E-06,3.28174300011597E-06,1.91871440001705E-05,1.63347464000253E-05,1.14538300003915E-05
117,1.72083250072319E-06,3.34396600010223E-06,1.98431490002804E-05,1.65447127999869E-05,1.16112590003468E-05
119,1.74615449941484E-06,3.4169320001638E-06,2.05316990000028E-05,1.67694424999354E-05,1.1683505500514E-05
121,1.76382000063313E-06,3.50528099988878E-06,2.12358789999598E-05,1.70616716999575E-05,1.17580804999307E-05
123,1.7906202483573E-06,3.5566229998949E-06,2.18991530000494E-05,1.69635704000029E-05,1.20360194996465E-05
125,1.8120677486877E-06,3.65310100005445E-06,2.26243209999666E-05,1.71346475999599E-05,1.20123280003099E-05
127,1.82581300032325E-06,3.73625899965191E-06,2.33395850000306E-05,1.73616696999488E-05,1.22812670006169E-05
129,2.95784149784595E-06,4.6638199996778E-06,2.40506779996395E-05,2.22473142999661E-05,1.34439105004276E-05
131,3.02029274826054E-06,4.75923700014391E-06,2.47852729999067E-05,2.35644745999707E-05,1.63817319998998E-05
133,3.05684974955511E-06,4.87759499992535E-06,2.55402879997746E-05,2.47481981000419E-05,1.65654074999111E-05
135,3.09773399931146E-06,4.95402100023057E-06,2.62930439998854E-05,2.5152365500071E-05,1.68119850004587E-05
137,3.13777974952245E-06,5.08044900016103E-06,2.70861740000328E-05,2.530308839996E-05,1.68371575000492E-05
139,3.18311850060127E-06,5.17920699985552E-06,2.78704330003166E-05,2.54967533000126E-05,1.70375415000308E-05
141,3.21437525053625E-06,5.8764139998857E-06,2.86243250002371E-05,2.56306538999524E-05,1.71746810001423E-05
143,3.2505177478015E-06,5.81781200025944E-06,2.94274559996666E-05,2.55877683000108E-05,1.73369545000242E-05
145,3.29017200056114E-06,5.94132599962904E-06,3.02434739996897E-05,2.57075641000483E-05,1.74867180003275E-05
147,3.33096625035978E-06,6.02086300023075E-06,3.10270740001215E-05,2.58061892000114E-05,1.76759855003183E-05
149,3.35667800027295E-06,6.12849800018012E-06,3.18578149999666E-05,2.59106077000069E-05,1.76750480004557E-05
151,3.41347925132141E-06,6.22330700025486E-06,3.271246300028E-05,2.59627770000407E-05,1.78322339997976E-05
153,3.43647649788181E-06,6.36405200020818E-06,3.35623050000322E-05,2.60847183000806E-05,1.80801919996156E-05
155,3.47651575066266E-06,6.44427499992162E-06,3.43845719999081E-05,2.62410364000061E-05,1.82503330006512E-05
157,3.50399799935985E-06,6.57681199982108E-06,3.52570340000966E-05,2.63595219999843E-05,1.83426710000276E-05
159,3.5400925007707E-06,6.65779600012684E-06,3.62361110001075E-05,2.63510729999325E-05,1.85108999994554E-05
161,3.57588375118212E-06,6.79626000010103E-06,3.70947299998079E-05,2.64460897999925E-05,1.86335355001575E-05
163,3.61200274710427E-06,6.86968299987711E-06,3.80453220000163E-05,2.6465134099999E-05,1.8801155500114E-05
165,3.64664474909659E-06,7.00275600001987E-06,3.89655310000307E-05,2.65068884999891E-05,1.89434174999406E-05
167,3.69006049731979E-06,7.09527199978766E-06,3.99610160002339E-05,2.64898914999321E-05,1.91666455002633E-05
169,3.71742275092402E-06,7.20904899981178E-06,4.07631669995681E-05,2.65639367000404E-05,1.93031919998248E-05
171,4.05791250159382E-06,7.30213599990748E-06,4.17314279998209E-05,2.65736338999886E-05,1.9381161999263E-05
173,4.09647950073122E-06,7.44413800020993E-06,4.26807500002724E-05,2.66281404999972E-05,1.95638345003317E-05
175,3.84138400113443E-06,7.49613300013152E-06,4.36282260002372E-05,2.66939983999691E-05,1.97225525007525E-05
