length,rapidfuzz,pyxdameraulevenshtein
1,1.4698399991175392e-07,2.5697000000945993e-07
3,1.4635499974247069e-07,7.400029999189429e-07
5,1.3911099995311816e-07,1.83537900011288e-06
7,1.3681400014320389e-07,3.4116799997718773e-06
9,1.4671099961560686e-07,5.572492000283091e-06
11,1.5064600029290887e-07,8.260643000539858e-06
13,1.6407699968112864e-07,1.1176448999322019e-05
15,1.6826099999889266e-07,1.4819308999904025e-05
17,1.7698900046525524e-07,
19,1.865640006144531e-07,
21,1.9588899976952235e-07,
23,2.0420400051079924e-07,
25,2.1404899962362833e-07,
27,2.2314699981507146e-07,
29,2.320040002814494e-07,
31,2.409170001556049e-07,
33,2.5362200085510265e-07,
35,2.5934599943866486e-07,
37,2.7112499992654196e-07,
39,2.7690399929269917e-07,
41,2.8934400052094133e-07,
43,2.9554600041592496e-07,
45,3.0865300050209046e-07,
47,3.135130000373465e-07,
49,3.2258699957310456e-07,
51,3.3199400058947506e-07,
53,3.4159999995608816e-07,
55,3.4967299961863317e-07,
57,3.6060000002180457e-07,
59,3.680720001284499e-07,
61,3.7782099934702273e-07,
63,3.8647500059596494e-07,
65,9.577880000506412e-07,
67,9.84375000371074e-07,
69,1.0082949993375222e-06,
71,1.0275470003762166e-06,
73,1.051897000252211e-06,
75,1.073553000423999e-06,
77,1.0968169999614474e-06,
79,1.117767999858188e-06,
81,1.1424860003899084e-06,
83,1.163496999652125e-06,
85,1.187711000056879e-06,
87,1.2085340003977762e-06,
89,1.2328940001680167e-06,
91,1.2524390003818552e-06,
93,1.2764330003847135e-06,
95,1.3024830004724207e-06,
97,1.32598600066558e-06,
99,1.346581999314367e-06,
101,1.371032999486488e-06,
103,1.392547000250488e-06,
105,1.4235899998311651e-06,
107,1.4774629999010357e-06,
109,1.4599709993490252e-06,
111,1.4976550000938005e-06,
113,1.5678629997637471e-06,
115,1.6522060004717787e-06,
117,1.6155590001289965e-06,
119,1.6551349999645027e-06,
121,1.6351550002582371e-06,
123,1.6579590001128963e-06,
125,1.6824699996504932e-06,
127,1.7008929999065004e-06,
129,2.229611999609915e-06,
131,2.259155000501778e-06,
133,2.265281000290997e-06,
135,2.299419999872043e-06,
137,2.346483000110311e-06,
139,2.3813459993107244e-06,
141,2.384534999691823e-06,
143,2.436941999803821e-06,
145,2.4477739998474136e-06,
147,2.5015759993038957e-06,
149,2.503462000277068e-06,
151,2.5623889996495564e-06,
153,2.563212000495696e-06,
155,2.6204510004390615e-06,
157,2.6208889994450148e-06,
159,2.6796290003403555e-06,
161,2.7088150000054155e-06,
163,2.740089000326407e-06,
165,2.7696840006683487e-06,
167,2.798658999381587e-06,
169,2.8303870003583143e-06,
171,2.8318470003796393e-06,
173,2.8891560004922213e-06,
175,2.890833000492421e-06,
177,2.947210999991512e-06,
179,2.955818999907933e-06,
181,2.9868980000173905e-06,
183,3.0144849997668642e-06,
185,3.0438360008702147e-06,
187,3.073761999985436e-06,
189,3.1010880002213525e-06,
191,3.1535239995719165e-06,
193,3.840102999674855e-06,
195,3.9171030002762564e-06,
197,3.9551790005134535e-06,
199,3.9954880003278956e-06,
201,3.991812999629474e-06,
203,4.000463000011223e-06,
205,4.10279400057334e-06,
207,4.137891999562271e-06,
209,4.171116999714286e-06,
211,4.209605999676569e-06,
213,4.252028000337305e-06,
215,4.289131999939855e-06,
217,4.321453999182268e-06,
219,4.3653700004142594e-06,
221,4.396455999994941e-06,
223,4.448508999303158e-06,
225,4.474747000131174e-06,
227,4.5095249997757495e-06,
229,4.541867999250826e-06,
231,4.5877389993620454e-06,
233,4.6242739999797776e-06,
235,4.661495000618743e-06,
237,4.690873000072315e-06,
239,4.7287480001614315e-06,
241,4.763189999721362e-06,
243,4.7763889997440855e-06,
245,4.838273999666853e-06,
247,4.8745210006018165e-06,
249,4.916650999803096e-06,
251,4.950988999553374e-06,
253,4.989795000255981e-06,
255,4.981234000297263e-06,
