length,rapidfuzz,fuzzywuzzy
1,3.1376100378111E-07,3.67321600788273E-06
3,3.2244400063064E-07,3.82975199318025E-06
5,3.51760012563318E-07,3.94349799898919E-06
7,4.24402998760343E-07,4.01556499127764E-06
9,5.03882009070367E-07,4.17668999580201E-06
11,6.07673995546065E-07,4.4594669889193E-06
13,7.51201005186886E-07,4.63471499097068E-06
15,8.96147001185454E-07,4.88282699370757E-06
17,1.04200400528498E-06,5.16539000091143E-06
19,1.21112700435333E-06,5.40963999810629E-06
21,1.4065750001464E-06,5.82888799544889E-06
23,1.60813999536913E-06,6.15304301027209E-06
25,1.78590600262396E-06,6.63551900652237E-06
27,1.96672099991702E-06,7.03551998594776E-06
29,2.21429399971385E-06,7.36430299002677E-06
31,2.50637499266304E-06,7.89761399209965E-06
33,2.77167999593075E-06,8.62784399942029E-06
35,3.0810059979558E-06,9.432574006496E-06
37,3.18554499244783E-06,9.92940399737563E-06
39,3.49144599749707E-06,1.03858819929883E-05
41,3.77878300787415E-06,1.12286650110036E-05
43,4.05554600001778E-06,1.21424809913151E-05
45,4.38019000284839E-06,1.3080970995361E-05
47,4.61747600638773E-06,1.3778120992356E-05
49,4.88812400726602E-06,1.48937650083099E-05
51,5.28272899100557E-06,1.59740329982014E-05
53,5.54039698909037E-06,1.71664109948324E-05
55,5.92040200717747E-06,1.78110340057174E-05
57,6.22696199570783E-06,1.90824379969854E-05
59,6.60304698976688E-06,2.03370810049819E-05
61,7.06761400215328E-06,2.21772039949428E-05
63,7.46835500467569E-06,2.33101019985043E-05
65,8.55207401036751E-06,2.44339469936676E-05
67,8.91440799750853E-06,2.67484130017692E-05
69,9.47351599461399E-06,2.79915090068243E-05
71,1.01005649921717E-05,2.99239180021686E-05
73,1.05144679982914E-05,3.14247490023263E-05
75,1.11702400026843E-05,3.36765050014947E-05
77,1.19880629936233E-05,3.55833540088497E-05
79,1.25633760035271E-05,3.84078200004296E-05
81,1.30366530065658E-05,4.087384500599E-05
83,1.36105440033134E-05,4.32054029952269E-05
85,1.41985199879855E-05,4.57444130006479E-05
87,1.47853389935335E-05,4.70040810032515E-05
89,1.53770059987437E-05,5.06329030031338E-05
91,1.61573710065568E-05,5.18321440031286E-05
93,1.6635296997265E-05,5.4912248000619E-05
95,1.72748620097991E-05,5.93775680026738E-05
97,1.76317089935765E-05,6.27104550076183E-05
99,1.86651140102185E-05,6.61915939999744E-05
101,1.92377440107521E-05,6.97025050030788E-05
103,1.98187719943235E-05,7.26302200055215E-05
105,2.03526249970309E-05,7.65285789966583E-05
107,2.13074909988791E-05,8.04346410004655E-05
109,2.18529470002977E-05,8.39507229975425E-05
111,2.27509969990933E-05,8.90584149892675E-05
113,2.34403509966796E-05,9.16794469958404E-05
115,2.42549160029739E-05,9.62839580024593E-05
117,2.53171670046868E-05,0.000102204878
119,2.59190110082272E-05,0.000104994820998
121,2.66039129928686E-05,0.000111347686005
123,2.7791728003649E-05,0.000115968393002
125,2.81343030073913E-05,0.000119278387996
127,2.92002380010672E-05,0.000126045894998
129,3.22824969916837E-05,0.000129667690999
131,3.37707799917553E-05,0.000133994759002
133,3.44810460082954E-05,0.000142442454002
135,3.53905049996683E-05,0.000148812618994
137,3.67105869954685E-05,0.000154944256996
139,3.78437920007855E-05,0.000162155479993
141,3.85017000080552E-05,0.000167862039001
143,3.98831260099541E-05,0.000174311764
145,4.07951270026388E-05,0.00018043852401
147,4.17290239856811E-05,0.000186360666004
149,4.29287860024488E-05,0.000195463615994
151,4.38081169995712E-05,0.000200400941991
153,4.45668360043783E-05,0.000209216652001
155,4.57722540013492E-05,0.000217415000006
157,4.72706379950978E-05,0.000222550633
159,4.81047209905228E-05,0.000233381598999
161,5.0157510995632E-05,0.000241087821007
163,5.14091820077738E-05,0.000249784857995
165,5.18772719951812E-05,0.000263809481999
167,5.33602779905777E-05,0.000264844335004
169,5.45897539996076E-05,0.000274516183999
171,5.57572599936975E-05,0.000280887792003
173,5.65709399961634E-05,0.000299474186002
175,5.75752489967272E-05,0.000305234169005
177,5.96634850080591E-05,0.000313057923006
179,6.13754700025311E-05,0.000317972854988
181,6.26125359995058E-05,0.000337001310007
183,6.36687210062519E-05,0.000346105646007
185,6.46267410047585E-05,0.000357831205998
187,6.58553999965079E-05,0.000362565716001
189,6.64135630067904E-05,0.000382351423003
191,6.87755740073044E-05,0.000383515524998
193,7.57632839959115E-05,0.000400494289002
195,7.632737098902E-05,0.000411503423995
197,7.77019439992728E-05,0.000423233259993
199,8.01319829915883E-05,0.000431501843006
201,8.23578770068707E-05,0.000450491697004
203,8.34574350010371E-05,0.000460726578996
205,8.3718947993475E-05,0.000480596873997
207,8.62987590080593E-05,0.000484154617996
209,8.87821260112105E-05,0.000498287034003
211,8.94451310014119E-05,0.000523598682004
213,9.02248519996647E-05,0.000529368209987
215,9.15391419985099E-05,0.000552829916007
217,9.34940590086626E-05,0.000564466388998
219,9.67063130083261E-05,0.00056922949999
221,9.59059590095421E-05,0.000585472623003
223,9.77920849982183E-05,0.000606280239997
225,0.000100801877998,0.000619072975009
227,0.000101733924996,0.000643960511996
229,0.000105575152993,0.000661581616994
231,0.000105615990993,0.000666990108992
233,0.000107148875002,0.000691134574008
235,0.000107613802,0.000702669110004
237,0.000108777791,0.00072298423
239,0.000111971110004,0.000741896509004
241,0.000113178256011,0.000754952242991
243,0.000115081302996,0.000780897225995
245,0.000116408338989,0.000792766808008
