length,rapidfuzz,fuzzywuzzy
64,6.81508012348786e-06,2.7634470025077463e-05
66,5.821730010211468e-06,3.2164520234800875e-05
68,5.499650142155588e-06,3.5412890138104555e-05
70,5.565900064539164e-06,3.787167021073401e-05
72,5.853809998370707e-06,4.015710990643129e-05
74,5.8371498016640545e-06,4.228422010783106e-05
76,5.9871497796848415e-06,4.4753419933840634e-05
78,6.40590995317325e-06,4.825221025384963e-05
80,6.198399933055043e-06,5.1405569829512386e-05
82,6.278819928411394e-06,5.187308008316904e-05
84,6.3971601775847375e-06,5.607978993793949e-05
86,6.556320004165173e-06,5.6111460144165906e-05
88,6.60132005577907e-06,5.715272011002526e-05
90,6.740909884683788e-06,5.9882329951506106e-05
92,7.028830004855991e-06,6.163068988826126e-05
94,6.875069811940193e-06,6.408404995454475e-05
96,7.065910031087697e-06,6.61536501138471e-05
98,7.285910251084715e-06,6.719073979184032e-05
100,7.257580000441521e-06,6.877159990835935e-05
102,7.472170109394938e-06,7.001869002124295e-05
104,7.296749972738326e-06,7.194704987341538e-05
106,7.510909927077591e-06,7.30328998179175e-05
108,7.62549985665828e-06,7.506750000175089e-05
110,8.22343019535765e-06,7.532292016549036e-05
112,7.841759943403304e-06,7.763419998809695e-05
114,7.800080056767911e-06,7.824003987479954e-05
116,8.247169898822903e-06,7.997712993528693e-05
118,8.050500182434917e-06,8.157714997651055e-05
120,8.173839887604117e-06,8.041965018492192e-05
122,8.602180168963968e-06,8.199633011827246e-05
124,8.46176000777632e-06,8.528428006684407e-05
126,8.604679896961897e-06,8.620720996987075e-05
128,8.831759914755822e-06,8.916182996472344e-05
130,8.950519841164351e-06,8.987808017991483e-05
132,9.015100076794624e-06,9.193934994982555e-05
134,8.86385008925572e-06,9.336771006928756e-05
136,9.17469005798921e-06,9.220227017067372e-05
138,9.345519938506186e-06,9.454896004172041e-05
140,9.455099934712053e-06,9.328437008662149e-05
142,9.631360007915646e-06,9.560439008055255e-05
144,9.530099923722446e-06,9.898985008476302e-05
146,9.64593986282125e-06,0.0001006994498311542
148,9.743450209498406e-06,0.00010073028999613598
150,9.683030075393617e-06,0.00010079070023493841
152,9.762610134202986e-06,0.00010252030013361946
