length,partial_token_ratio,"max(partial_token_sort_ratio, partial_token_set_ratio)"
1,7.112240127753467e-07,1.3703890144824981e-06
3,7.851709960959852e-07,1.5478080022148788e-06
5,8.311620040331035e-07,1.5471400110982359e-06
7,9.009839850477874e-07,1.6576810157857834e-06
9,9.944989869836717e-07,1.883326011011377e-06
11,1.156570011517033e-06,2.1133389964234082e-06
13,1.2999580067116766e-06,2.4305649858433755e-06
15,1.4685990172438323e-06,2.674491988727823e-06
17,1.647992990911007e-06,3.029654995771125e-06
19,1.842552999733016e-06,3.408977994695306e-06
21,1.9516659958753733e-06,3.6239820183254776e-06
23,2.2228349989745764e-06,4.152312991209328e-06
25,2.4115029955282806e-06,4.594177007675171e-06
27,2.5875830033328385e-06,4.909170005703345e-06
29,2.808902005199343e-06,5.37682801950723e-06
31,3.0905769963283092e-06,5.921922012930736e-06
33,3.425963979680091e-06,6.525871984194964e-06
35,3.73556898557581e-06,7.183586014434695e-06
37,3.977409010985866e-06,7.567865977762267e-06
39,4.242223018081859e-06,8.143321989336982e-06
41,4.48648098972626e-06,8.589114993810654e-06
43,4.7704240132588895e-06,9.188185998937116e-06
45,5.019575997721404e-06,9.652256005210801e-06
47,5.297097988659516e-06,1.0213872999884189e-05
49,5.614873982267454e-06,1.0768102016299963e-05
51,5.909687984967605e-06,1.1454496998339892e-05
53,6.216409004991874e-06,1.2078389001544566e-05
55,6.649860995821655e-06,1.2915919010993093e-05
57,6.897409009980038e-06,1.3419221999356523e-05
59,7.319008989725262e-06,1.4242228993680328e-05
61,7.678353984374553e-06,1.4998904982348904e-05
63,7.953805004945024e-06,1.5589665999868884e-05
65,8.408219990087673e-06,1.644895298522897e-05
67,9.858150995569304e-06,1.9333642994752155e-05
69,1.043205801397562e-05,2.0564350998029112e-05
71,1.0948243987513706e-05,2.1634356991853566e-05
73,1.1625571001786738e-05,2.2858962998725474e-05
75,1.2292991013964639e-05,2.410648300428875e-05
77,1.2954053003340959e-05,2.5623005989473313e-05
79,1.3591653987532481e-05,2.6720162015408276e-05
81,1.4175432006595657e-05,2.7939593011979015e-05
83,1.4788021013373509e-05,2.9097785998601467e-05
85,1.5320935985073446e-05,3.040444399812259e-05
87,1.6076804982731118e-05,3.179426901624538e-05
89,1.6687792987795547e-05,3.2869817980099467e-05
91,3.350680597941391e-05,3.396189998602494e-05
93,1.8060035014059394e-05,3.563938502338715e-05
95,1.8909564008936287e-05,3.749637198052369e-05
97,1.956359401810914e-05,3.901201099506579e-05
99,2.036361600039527e-05,4.026374002569355e-05
101,2.067533798981458e-05,4.107395801111124e-05
103,2.188107999972999e-05,4.321432200958952e-05
105,2.2730758995749057e-05,4.473478900035843e-05
107,2.3567483003716917e-05,4.615136497886851e-05
109,2.4744797992752866e-05,4.895161400781944e-05
111,2.5179519987432287e-05,4.9565152003197e-05
113,2.594761099317111e-05,5.1478139008395375e-05
115,2.684891998069361e-05,5.3417351009557026e-05
117,2.7668827009620145e-05,5.519254298997112e-05
119,2.85399749991484e-05,5.6653620005818084e-05
121,2.9601895017549396e-05,5.8596159011358394e-05
123,3.0423001997405662e-05,6.025990398484282e-05
125,3.132855499279685e-05,6.218457198701798e-05
127,3.205059698666446e-05,6.358542802627199e-05
129,3.47270870115608e-05,6.935826898552477e-05
131,3.7549103988567366e-05,7.49278049916029e-05
133,3.849409898975864e-05,7.644964099745267e-05
135,3.9905415003886445e-05,7.937640399904921e-05
137,4.016270799911581e-05,7.989562102011404e-05
139,4.198947301483713e-05,8.322807599324734e-05
141,4.258022599969991e-05,8.518137800274417e-05
143,4.3434427003376184e-05,8.679184102220461e-05
145,4.4969378999667244e-05,8.955550799146295e-05
147,4.581352899549529e-05,9.151604401995428e-05
149,4.782503700698726e-05,9.571184200467542e-05
151,4.9518494983203706e-05,9.846858101082034e-05
153,5.027987499488518e-05,9.984109000652098e-05
155,5.159335400094278e-05,0.0001029200550110545
157,5.274007198750041e-05,0.00010506017997977323
159,5.422469601035118e-05,0.00010803635700722225
161,5.5111533001763746e-05,0.00011010794201865792
163,5.6486790010239926e-05,0.000112226252007531
165,5.752564998692833e-05,0.00011423199699493124
167,5.915194400586188e-05,0.00011773689399706199
169,5.957728301291354e-05,0.00011904166301246733
171,6.146388198249042e-05,0.00012247093999758363
173,6.242968799779191e-05,0.0001247386369796004
175,6.331159800174646e-05,0.0001290720800170675
177,6.521693000104278e-05,0.00013265985698672012
179,6.590465697809123e-05,0.00013359443697845563
181,6.732067398843356e-05,0.0001362374440068379
183,6.956725599593482e-05,0.00014110626399633475
185,6.974711801740341e-05,0.00014162614100496284
187,7.198348999372683e-05,0.00014727930701337755
189,7.352780899964272e-05,0.00015062129200669005
191,7.357551201130263e-05,0.00014981739802169615
193,7.957707499735989e-05,0.00016157495899824425
195,8.189226398826577e-05,0.00016681511598289945
197,8.471392700448632e-05,0.00017225769901415332
199,8.712028301670216e-05,0.00017721041897311807
201,8.743104198947549e-05,0.00017848425300326197
203,8.913156102062203e-05,0.00018181022797944025
205,8.99037969938945e-05,0.0001834393229801208
207,9.226485900580884e-05,0.00018773111299378797
209,9.448986200732179e-05,0.00019173475200659596
211,9.605565000674687e-05,0.00019627810598467477
213,9.693900999263861e-05,0.00019748531898949295
215,0.00010116199200274423,0.00020678986198618076
217,0.00010266368699376471,0.00020811464497819544
219,0.00010382189901429229,0.00021136190101969987
221,0.00010513767699012533,0.00021515612900839187
223,0.00010682521099806763,0.00021690729999681934
225,0.00010870832798536867,0.00022166344398283399
227,0.00010983457398833706,0.00022302700599539094
229,0.0001106882210006006,0.00022541011098655873
231,0.00011416353500680998,0.0002327552379865665
233,0.00011557485099183395,0.00023559688200475647
235,0.00011876387300435453,0.00024252636299934238
237,0.00012027027699514293,0.0002448807820037473
239,0.00012175127697992139,0.0002492450859863311
241,0.00012133824202464893,0.00024848814500728623
243,0.00012396594102028757,0.00025343700699158946
245,0.0001245074210164603,0.0002546861059963703
247,0.00012996215300518089,0.0002657272529904731
249,0.00012999054600368253,0.00026607655399129725
251,0.00013259848800953477,0.00027010578801855447
253,0.00013295053798356094,0.0002720947939960752
255,0.0001352480580098927,0.00027619279400096277
257,0.00013950513498275541,0.00028536349997739305
259,0.0001487230029888451,0.0003033441859879531
261,0.0001487533150066156,0.000304824571008794
263,0.00015059668698813767,0.0003078838349902071
265,0.0001486065750068519,0.0003074283599853516
267,0.00015412155402009376,0.0003161811320169363
269,0.0001586011360050179,0.0003248160929942969
271,0.0001594842779741157,0.0003280678869923577
273,0.00016193619099794888,0.00033321547001833094
275,0.0001643833510170225,0.00033959462901111693
277,0.00016506317898165436,0.00033939299499616027
279,0.0001671530099993106,0.00034384323601261715
281,0.0001706566819921136,0.0003491207250044681
283,0.0001725417469860986,0.00035470352400443516
285,0.0001724169639928732,0.00035444200100027956
287,0.0001773638390004635,0.00036350469500757754
289,0.0001786792520142626,0.0003691361829987727
291,0.0001793665239820257,0.00036816721997456626
293,0.00018359434299054556,0.0003714931169815827
295,0.0001846165980095975,0.00037764203498954883
297,0.00018494255602126942,0.00037944685900583865
299,0.00018723386101191864,0.0003858816080028191
301,0.0001903967950202059,0.00038988631998654457
303,0.00019019423599820584,0.00039283708098810163
305,0.00019076439799391664,0.0003979483660077676
307,0.0001958500129985623,0.0004026269890018739
309,0.00019445939001161606,0.000404710200993577
311,0.00019963056399137713,0.0004108440160052851
313,0.00020071156299673022,0.0004146515619941056
315,0.00020457052398705855,0.00042259874197770844
317,0.00020677656499901785,0.00042770998700871133
319,0.00021053561099688522,0.0004329077340080403
321,0.0002097263110044878,0.00043722118000732736
323,0.00022540186598780565,0.0004611564610095229
325,0.00023193326700129545,0.0004760160270088818
327,0.00023650216998066754,0.00048190156600321643
329,0.00023706269898684696,0.0004829966660181526
331,0.00024163707601837815,0.0004933818939898629
333,0.00024750630499329417,0.0005016003510099836
335,0.0002447382299869787,0.0004977450360020157
337,0.0002437620240089018,0.0004967144370020833
339,0.0002525355240213685,0.0005148070779978298
341,0.00025434865697752685,0.0005191009049885907
343,0.00025747301601222717,0.0005228288510115818
345,0.0002602928550040815,0.0005289042499789503
347,0.00026465957300388256,0.0005368219430092722
349,0.0002634329780121334,0.0005354479870002251
351,0.0002658672609832138,0.0005408498120086733
353,0.00026888095401227476,0.000547043501981534
355,0.0002716612020158209,0.0005513012220035307
357,0.00027780147799057886,0.0005643974719860126
359,0.00028069476899690923,0.0005756342110107653
361,0.0002810101349896286,0.0005708912400004919
363,0.0002862855189887341,0.0005839557180006522
365,0.0002869390590058174,0.0005805266599927563
367,0.00028777712798910214,0.0005851335719926282
369,0.00029206492900266313,0.0005980945839837659
371,0.00029150960900005884,0.0005981726069876458
373,0.0002971109520003665,0.0006084269199927803
375,0.0002981260269880295,0.0006126592979999259
377,0.000299681481992593,0.0006121437880210578
379,0.00030723734997445716,0.0006318749919882975
381,0.00030050724698230623,0.0006229257080121898
383,0.0003075183290056884,0.0006328145309817046
385,0.00030793428100878373,0.0006325544099963736
387,0.00032528713598730974,0.000672656579001341
389,0.0003346412029932253,0.0006895293470006436
391,0.00033405443499214015,0.0006904060319939163
393,0.00033556047099409626,0.0006965965080016758
395,0.00034423102499567905,0.0007100763990019914
397,0.0003453088729875162,0.0007118823490163777
399,0.0003497427459806204,0.0007185225579887628
401,0.000355351628997596,0.000730960568995215
403,0.00035771824800758623,0.0007403438310138881
405,0.0003571548089967109,0.0007344850009831134
407,0.0003604767459910363,0.0007427395769918803
409,0.0003674864539934788,0.0007579326790000777
411,0.0003681303590128664,0.0007588313820015173
413,0.0003732741679996252,0.0007640247050148901
415,0.0003731536540144589,0.0007690517279843334
417,0.000376807363005355,0.0007783499380166176
419,0.0003762873919913545,0.0007782135989982635
421,0.0003833054910064675,0.0007886253420147113
423,0.0003832182610058226,0.0007912564119906165
425,0.000395112447993597,0.000815401475992985
427,0.0003925470010144636,0.0008098213959892746
429,0.00039330462602083573,0.0008126187339948955
431,0.0003953666810120922,0.0008147746770118828
433,0.0004079023099911865,0.0008383663269924
435,0.0004054224819992669,0.000834271717001684
437,0.0004016748919966631,0.0008274767489929218
439,0.000417770369007485,0.0008580891599995085
