length,rapidfuzz,fuzzywuzzy
1,5.07631979417056E-07,7.09025301330257E-06
3,7.28054001228884E-07,1.23783640010515E-05
5,8.97833000635728E-07,1.4744255997357E-05
7,1.06471200706437E-06,1.39756910066353E-05
9,1.15162099245936E-06,1.51097950001713E-05
11,1.31293400772847E-06,1.7152657994302E-05
13,1.51229297625832E-06,1.79951750033069E-05
15,1.70994098880328E-06,2.03758739953628E-05
17,1.90687100985087E-06,2.01826029951917E-05
19,2.1363029954955E-06,2.50353919982444E-05
21,2.4049979983829E-06,2.27240870008245E-05
23,2.56239000009373E-06,2.46072820009431E-05
25,2.93307800893672E-06,2.70499820035184E-05
27,3.14671199885197E-06,2.78470290068071E-05
29,3.31466598436236E-06,2.9479174001608E-05
31,3.44091199804097E-06,3.04565650003497E-05
33,3.52502398891374E-06,3.38287519989535E-05
35,3.66935099009424E-06,3.5281689997646E-05
37,3.86472599348053E-06,3.88810830045259E-05
39,3.83617900661193E-06,4.28608969959896E-05
41,4.45175901404582E-06,4.45621429971652E-05
43,4.57141798688099E-06,4.72737250092905E-05
45,4.74071901408024E-06,4.91861379996408E-05
47,4.85145300626755E-06,5.07809480041033E-05
49,4.66802099253982E-06,5.71208509936696E-05
51,4.81877397396602E-06,5.78856289939722E-05
53,4.61926800198853E-06,6.30206920031924E-05
55,5.26817701756954E-06,6.77096769941272E-05
57,4.88646299345419E-06,7.0236309999018E-05
59,4.70980198588222E-06,7.67896519973874E-05
61,5.18462297623046E-06,7.90349500020966E-05
63,5.33044699113816E-06,8.17238189920317E-05
65,5.48617399181239E-06,8.51743230014108E-05
67,5.37646200973541E-06,8.77790139929857E-05
69,5.69085197639652E-06,9.3829525008914E-05
71,5.80219298717566E-06,9.765519600478E-05
73,5.70545400842093E-06,0.000105474915996
75,6.30159702268429E-06,0.000109479646999
77,6.26643799478188E-06,0.000114747503001
79,6.09243498183787E-06,0.000118402838998
81,6.23845998779871E-06,0.000123535855004
83,5.89401499019004E-06,0.000130700329988
85,5.34530897857621E-06,0.000135422666994
87,5.52940301713534E-06,0.000139286409001
89,5.98804702167399E-06,0.000153283327993
91,5.98983999225311E-06,0.000151504208989
93,5.92436399892904E-06,0.000163844768002
95,5.80888899276033E-06,0.000172431931001
97,6.27830499433912E-06,0.000179258515011
99,5.80327998613939E-06,0.000188380109001
101,6.0009419976268E-06,0.000200577365002
103,5.47602598089725E-06,0.000209082406989
105,5.66742199589498E-06,0.000212438174989
107,5.88114801212214E-06,0.000217655304004
109,5.52985200192779E-06,0.000227338247991
111,5.97564902273007E-06,0.000235736749004
113,5.73883199831471E-06,0.000240517069993
115,6.09213300049305E-06,0.000255845442996
117,6.09736700425856E-06,0.000264205461004
119,6.25765998847783E-06,0.000272065456011
121,6.25256000785157E-06,0.000279750261994
123,6.21282501379028E-06,0.000286119447002
125,6.24476600205526E-06,0.000292056514008
127,6.22865001787432E-06,0.000309308545009
129,6.2764179892838E-06,0.000322473862005
