length,rapidfuzz,fuzzywuzzy
1,1.33716006530449E-07,1.8476940022083E-06
3,1.61669013323262E-07,1.95139599964023E-06
5,1.64445998962037E-07,1.93590200797189E-06
7,1.72618005308323E-07,1.97965500410646E-06
9,1.74895991222002E-07,2.05012199876364E-06
11,1.81732000783086E-07,2.06337300187442E-06
13,1.78834001417272E-07,2.09399699815549E-06
15,1.84757998795249E-07,2.14787600270938E-06
17,1.87875994015485E-07,2.21752398647368E-06
19,1.97514003957622E-07,2.28760599566158E-06
21,2.03261995920911E-07,2.33258299704175E-06
23,2.03578005312011E-07,2.46037301258184E-06
25,2.12182989344001E-07,2.52461200580001E-06
27,2.12728002225049E-07,2.62396199104842E-06
29,2.15698004467413E-07,2.74956299108453E-06
31,2.19905996345915E-07,2.9258799913805E-06
33,2.29999001021497E-07,3.06143298803363E-06
35,2.34018996707164E-07,3.29141000111122E-06
37,2.38940003328025E-07,3.35713099048007E-06
39,2.42146998061799E-07,3.51386499824002E-06
41,2.45854986133054E-07,3.69957399379928E-06
43,2.46032999712042E-07,3.889079001965E-06
45,2.5123699742835E-07,4.04803799756337E-06
47,2.62389003182761E-07,4.2536580003798E-06
49,2.67481998889707E-07,4.44644900562707E-06
51,2.71354991127737E-07,4.62176199653186E-06
53,2.72200995823368E-07,4.87243999668863E-06
55,2.75519996648654E-07,5.1225370116299E-06
57,2.80473002931103E-07,5.34802601032425E-06
59,2.91128002572805E-07,5.63975799013861E-06
61,2.94846991891973E-07,5.85533899720758E-06
63,2.94608005788177E-07,6.05518399970606E-06
65,8.98355996469036E-07,6.36586798646022E-06
67,9.21789003768936E-07,6.65136599855032E-06
69,9.65062994509935E-07,6.92366699513514E-06
71,9.88807005342096E-07,7.18448399857152E-06
73,9.76159004494548E-07,7.49598600668833E-06
75,1.01829999766778E-06,7.92892900062725E-06
77,1.04352099879179E-06,8.21194400487002E-06
79,1.06428700382821E-06,8.56076399213634E-06
81,1.08172799809836E-06,8.89782801095862E-06
83,1.08363501203712E-06,9.24848600698169E-06
85,1.03885300632101E-06,9.55585199699272E-06
87,1.13348099694122E-06,9.92303600651212E-06
89,1.15513500350062E-06,1.03043620038079E-05
91,1.18419800128322E-06,1.07248949934728E-05
93,1.18848300189711E-06,1.09160910069477E-05
95,1.22668899712153E-06,1.15387249970809E-05
97,1.24310899991542E-06,1.19258149934467E-05
99,1.21264799963683E-06,1.23605750122806E-05
