length,token_ratio,"max(token_sort_ratio, token_set_ratio)"
1,5.910900072194636e-07,9.56522999331355e-07
3,6.791839987272397e-07,1.0755179973784834e-06
5,6.936729914741591e-07,1.0820899915415793e-06
7,6.993049901211634e-07,1.1417150089982898e-06
9,7.217819947982207e-07,1.2404260050971062e-06
11,8.187509956769645e-07,1.4240270102163777e-06
13,8.458360098302365e-07,1.4966039889259263e-06
15,9.79705000645481e-07,1.341067996690981e-06
17,1.1131109931739047e-06,1.6547029954381286e-06
19,1.1380460055079312e-06,1.6940370114753023e-06
21,1.1791510041803121e-06,1.7489509918959812e-06
23,1.1191329977009445e-06,1.8611129926284775e-06
25,1.142107998020947e-06,1.6501009959029034e-06
27,1.168716000393033e-06,1.6850389947649092e-06
29,1.2006650067633017e-06,1.724039000691846e-06
31,1.2792149937013164e-06,1.8103579932358117e-06
33,1.6484030056744815e-06,2.400691999355331e-06
35,1.6797369898995384e-06,2.4530279915779827e-06
37,1.7717599985189736e-06,2.1444199956022205e-06
39,1.522993014077656e-06,2.123881000443362e-06
41,1.595419002114795e-06,2.1541379974223674e-06
43,1.5748459991300478e-06,2.184454002417624e-06
45,1.6062570066424087e-06,2.6672429958125577e-06
47,1.6374949918827042e-06,2.2513040021294726e-06
49,1.7179470014525577e-06,2.7427259919932113e-06
51,1.6955760074779392e-06,2.7848439931403845e-06
53,2.0535439980449157e-06,2.4086510093184187e-06
55,1.7975469963857904e-06,2.449407009407878e-06
57,1.8193099967902527e-06,2.468532999046147e-06
59,1.8484949978301301e-06,2.506126998923719e-06
61,1.920889990287833e-06,2.5802869931794704e-06
63,1.9608500006143005e-06,2.6263139880029486e-06
65,2.8600520017789677e-06,3.813864997937344e-06
67,3.3828610030468553e-06,4.118829005165025e-06
69,3.7974670121911913e-06,4.9253759934799745e-06
71,3.498753998428583e-06,4.983632999937981e-06
73,3.6555160040734335e-06,4.31231499533169e-06
75,3.955300999223255e-06,4.366819994174876e-06
77,3.922135001630522e-06,4.702386999269948e-06
79,4.265511990524828e-06,5.288925996865146e-06
81,3.972555001382716e-06,4.765424004290253e-06
83,4.083477004314773e-06,5.440111999632791e-06
85,4.079099991940894e-06,5.540019003092311e-06
87,4.505819000769406e-06,4.843975999392569e-06
89,4.386500993859954e-06,5.531685994355939e-06
91,4.520180998952128e-06,5.02930000948254e-06
93,4.701219004346058e-06,5.864102990017272e-06
95,4.4525589910335835e-06,5.202076994464733e-06
97,4.4008050026604905e-06,5.454083002405241e-06
99,4.452758992556482e-06,5.3433069988386705e-06
101,4.527205004706047e-06,5.4060069960542024e-06
103,5.0699300045380365e-06,5.466939997859299e-06
105,4.78114900761284e-06,5.522430001292378e-06
107,4.696413001511246e-06,6.411042995750904e-06
109,4.798312002094462e-06,5.7091589987976476e-06
111,4.869951997534372e-06,5.7835030020214616e-06
113,4.935798002406955e-06,5.849248002050444e-06
115,5.005407001590356e-06,5.895694994251244e-06
117,5.090888997074217e-06,5.966502998489886e-06
119,5.1483670104062185e-06,6.087418994866312e-06
121,5.23201999021694e-06,6.265030999202281e-06
123,5.893731009564362e-06,6.3227829959942025e-06
125,5.3948779968777676e-06,6.3959410035749895e-06
127,5.5019029969116676e-06,6.4574150019325315e-06
129,6.696562995784916e-06,7.238529011374339e-06
131,6.869527001981623e-06,7.876361007220112e-06
133,6.989574001636356e-06,8.844880008837207e-06
135,7.581402009236626e-06,8.066624999628402e-06
137,7.392665997031145e-06,9.134623003774323e-06
139,7.719672998064197e-06,8.233597007347271e-06
141,7.324592996155843e-06,8.53265100158751e-06
143,7.403248004266061e-06,8.608055009972304e-06
145,7.455960992956534e-06,8.437217999016866e-06
147,7.5338939932407815e-06,8.526648001861758e-06
149,8.265238007879816e-06,8.664923007017932e-06
151,7.747969997581095e-06,9.780534004676156e-06
153,7.821997001883573e-06,8.853529012412765e-06
155,7.887564002885482e-06,8.928167007979936e-06
157,7.95644499885384e-06,8.995667987619526e-06
159,8.03935200383421e-06,9.078664996195585e-06
161,8.11433300259523e-06,9.159665991319344e-06
163,8.156417999998666e-06,9.237181002390571e-06
165,8.244995988206939e-06,9.339109004940838e-06
167,8.314399994560517e-06,1.0493415000382811e-05
169,8.380002997000701e-06,9.49978300195653e-06
171,8.414675001404248e-06,9.573741001076996e-06
173,8.489904997986742e-06,9.629241001675837e-06
175,8.574075007345527e-06,9.70572599908337e-06
177,8.711036993190646e-06,9.859569996478968e-06
179,8.778375005931594e-06,9.926547994837165e-06
181,8.85875899984967e-06,1.0010497004259378e-05
183,9.49464100995101e-06,1.0093033997691237e-05
185,9.05198098917026e-06,1.0249161001411267e-05
187,9.13850100187119e-06,1.033950700366404e-05
189,9.19053700636141e-06,1.0406774003058672e-05
191,9.271757007809356e-06,1.0504293997655624e-05
193,1.0555460990872235e-05,1.1932363995583729e-05
195,1.1369746003765613e-05,1.3205915005528368e-05
197,1.125683200370986e-05,1.3518808002118021e-05
199,1.1678120994474738e-05,1.2698726000962779e-05
201,1.1797882994869724e-05,1.3055518007604406e-05
203,1.1442805000115187e-05,1.3574227996286936e-05
205,1.1520173007738777e-05,1.3885795997339301e-05
207,1.2126111003453844e-05,1.3941049997811205e-05
209,1.1729370991815812e-05,1.3081411991151981e-05
211,1.1911929002963007e-05,1.3323724997462705e-05
213,1.200446899747476e-05,1.461853299406357e-05
215,1.2882894996437243e-05,1.3636057992698625e-05
217,1.2290462997043505e-05,1.37355659971945e-05
219,1.2380909000057727e-05,1.5081898003700189e-05
221,1.2464810992241837e-05,1.3940650998847559e-05
223,1.2559527007397264e-05,1.402971199422609e-05
225,1.2634091996005736e-05,1.4133279997622595e-05
227,1.2737879995256662e-05,1.4229959007934668e-05
229,1.3578745987615548e-05,1.436470399494283e-05
231,1.2944233996677212e-05,1.4452989998972044e-05
233,1.3036809003097005e-05,1.454881500103511e-05
235,1.312309000059031e-05,1.464556400605943e-05
237,1.3218485997640528e-05,1.4751049006008542e-05
239,1.3987351005198435e-05,1.4831192995188758e-05
241,1.3406216006842442e-05,1.4954056998249143e-05
243,1.3503424997907133e-05,1.5046109998365864e-05
245,1.3656932991580106e-05,1.5211043995805086e-05
247,1.375207801174838e-05,1.5346372005296872e-05
249,1.4569181003025733e-05,1.5451265004230662e-05
251,1.394549899850972e-05,1.5541661996394394e-05
253,1.4037736997124739e-05,1.5665680009988138e-05
255,1.4154248012346215e-05,1.5768989993375725e-05
257,1.497155700053554e-05,1.7089937988203017e-05
259,1.6305347002344208e-05,1.8016663001617418e-05
261,1.6688660994987003e-05,1.844907199847512e-05
263,1.6864474993781188e-05,1.977754000108689e-05
265,1.7202736999024637e-05,1.9762398005696012e-05
267,1.749875298992265e-05,2.0069829988642597e-05
269,1.7248039002879524e-05,2.021304400113877e-05
271,1.7430392996175215e-05,1.8978802996571177e-05
273,1.751371299906168e-05,1.9092756003374235e-05
275,1.774027699138969e-05,1.9302910004626028e-05
277,1.7844304995378478e-05,1.9417514005908743e-05
279,1.7971296998439356e-05,1.956187200266868e-05
281,1.8060225003864617e-05,1.966798899229616e-05
283,1.815958699444309e-05,1.9766055993386543e-05
285,1.8271836001076737e-05,1.9854157988447696e-05
287,1.8383888003882022e-05,2.0026925005367957e-05
289,1.8520942001487128e-05,2.0141968998359517e-05
291,1.863287099695299e-05,2.0285436999984084e-05
293,1.874465499713551e-05,2.038491099665407e-05
