length,rapidfuzz,fuzzywuzzy
1,4.65702993096784E-07,5.71923200914171E-06
3,5.84235007409006E-07,8.34283299627714E-06
5,5.95428995438852E-07,9.40320100926328E-06
7,6.58556004054845E-07,9.9608540040208E-06
9,6.8286199530121E-07,1.08035310113337E-05
11,7.90823003626429E-07,1.25682239886373E-05
13,8.32292993436568E-07,1.21669560030568E-05
15,8.84741006302647E-07,1.28621830081102E-05
17,9.37240998609923E-07,1.46021659893449E-05
19,1.1055709910579E-06,1.44425609905738E-05
21,1.1463620030554E-06,1.50113109993981E-05
23,1.20723799045663E-06,1.57930389977992E-05
25,1.33176900271792E-06,1.64166330068838E-05
27,1.36312301037833E-06,1.69465200015111E-05
29,1.41544999496546E-06,1.727292999567E-05
31,1.56388699542731E-06,1.82224710006267E-05
33,1.67703900660854E-06,1.93499989982229E-05
35,1.74012698698789E-06,1.97299220017157E-05
37,1.92726698878687E-06,2.11063000024296E-05
39,2.04805399698671E-06,2.34425520029617E-05
41,2.09736300166696E-06,2.22814209992066E-05
43,2.12539698986802E-06,2.33208870049566E-05
45,2.16913300391752E-06,2.34739720035577E-05
47,2.23391600593459E-06,2.46969310101122E-05
49,2.37532499886584E-06,2.58686450106325E-05
51,2.42140899354126E-06,2.61923809885047E-05
53,2.56041600368917E-06,2.80885719985235E-05
55,2.60203199286479E-06,2.79396639962215E-05
57,2.73406899941619E-06,2.96553349908208E-05
59,2.86517999484204E-06,3.12298139906488E-05
61,2.9383590008365E-06,3.06282020028448E-05
63,2.9985909932293E-06,3.23351050028577E-05
65,3.08541199774481E-06,3.47063899971545E-05
67,3.11838199559133E-06,3.47915400052443E-05
69,3.31020000157878E-06,3.5704281006474E-05
71,3.36619999143295E-06,3.58291389857186E-05
73,3.54153099760879E-06,3.82142040034523E-05
75,3.66584699077066E-06,3.73736320034368E-05
77,3.80488899827469E-06,3.86606970132561E-05
79,3.91191599192098E-06,3.92668720014626E-05
81,4.05913600116037E-06,4.08858079899801E-05
83,4.23250099993311E-06,4.12875499896472E-05
85,4.38174999726471E-06,4.35775060032029E-05
87,4.48047800455242E-06,4.24977990041953E-05
89,4.77005599532276E-06,4.65077480039326E-05
