length,rapidfuzz,fuzzywuzzy
1,2.41982008446939E-07,4.4683209998766E-06
3,3.21037994581275E-07,5.79101299808826E-06
5,3.83999999030493E-07,6.7792509944411E-06
7,4.32069995440543E-07,8.13655099773314E-06
9,4.65008997707628E-07,8.85949000075925E-06
11,5.46565002878197E-07,8.5554880060954E-06
13,5.89574003242888E-07,9.16636899637524E-06
15,6.35830001556315E-07,9.99525599763729E-06
17,7.17749004252255E-07,1.10709239961579E-05
19,7.81808994361199E-07,1.05227059975732E-05
21,8.46897004521452E-07,1.11868730018614E-05
23,8.91222996870056E-07,1.19443470030092E-05
25,9.70477994997055E-07,1.24730119860033E-05
27,1.006430000416E-06,1.2997110010474E-05
29,1.04428800113965E-06,1.34759779903106E-05
31,1.10703300742898E-06,1.4138008991722E-05
33,1.16730800073128E-06,1.48071160074323E-05
35,1.21073899208568E-06,1.60405269998591E-05
37,1.27947400324047E-06,1.62445699970704E-05
39,1.36650999775156E-06,1.75835809932323E-05
41,1.38457599678077E-06,1.75063210044755E-05
43,1.4575739915017E-06,1.79776599979959E-05
45,1.49403300019912E-06,1.85249780042795E-05
47,1.54640899563674E-06,1.99404120066902E-05
49,1.56148099631537E-06,2.01292319979984E-05
51,1.63212999177631E-06,2.08869619964389E-05
53,1.7076930089388E-06,2.15886970108841E-05
55,1.73634199018125E-06,2.1768685997813E-05
57,1.79947400465608E-06,2.25452720042085E-05
59,1.87491699762177E-06,2.44926199957263E-05
61,1.92419899394736E-06,2.44432420004159E-05
63,1.94989799638279E-06,2.50924770080019E-05
65,2.04615599068347E-06,2.67580500076292E-05
67,2.08166500669904E-06,2.67953090078663E-05
69,2.1903779997956E-06,2.82857800048077E-05
71,2.2528340050485E-06,2.83825210062787E-05
73,2.40988699079026E-06,2.97483869944699E-05
75,2.49839900061488E-06,3.13632739998866E-05
77,2.63347600412089E-06,3.04302889999235E-05
79,2.73812700470444E-06,3.13574580068234E-05
81,3.06785899738316E-06,3.19951320125256E-05
83,3.20826399547514E-06,3.23508309957106E-05
85,3.30931499775033E-06,3.28176740003982E-05
87,3.34675100748427E-06,3.43648590060184E-05
89,3.45142000878695E-06,3.5505991007085E-05
91,3.49468299828004E-06,3.61049430066487E-05
93,3.55228100670502E-06,3.68536089954432E-05
95,3.68173599417787E-06,3.68795300018974E-05
97,3.73872500495054E-06,3.7509614994633E-05
99,3.80605501413811E-06,3.93341980088735E-05
101,3.83635501202662E-06,3.91804019891424E-05
103,3.93474599695764E-06,4.00842430099146E-05
105,3.96166800055653E-06,4.10280759970192E-05
107,4.07558599545155E-06,4.15964759886265E-05
109,4.20494598802179E-06,4.25395209895214E-05
111,4.26383400917985E-06,4.36346889910055E-05
113,4.30773400876205E-06,4.43815239996184E-05
115,4.35591400309932E-06,4.51281120040221E-05
117,4.41768500604667E-06,4.56914899987169E-05
119,4.48923899966758E-06,4.65917499968782E-05
121,4.54841399914585E-06,4.78329980105627E-05
123,4.60530900454614E-06,4.81492120015901E-05
125,4.68178499431815E-06,4.90572150010848E-05
127,4.74188401130959E-06,4.99831810011529E-05
129,4.86525699670892E-06,5.07564169965917E-05
131,4.91658899409231E-06,5.15351240028394E-05
133,5.06612900062464E-06,5.3706685997895E-05
135,5.12120500206947E-06,5.32512330100872E-05
137,5.25766199280042E-06,5.42253819876351E-05
139,5.37718100531492E-06,5.66665799997281E-05
141,5.44508101302199E-06,5.67727559973719E-05
143,5.48790900211316E-06,6.08826160023455E-05
145,5.56288399093319E-06,5.83478370099328E-05
147,5.61215401103254E-06,5.93347410031129E-05
149,5.71698299609125E-06,6.02023120009108E-05
151,5.79751499753911E-06,6.12804270058405E-05
153,5.91846700990573E-06,6.238158501219E-05
155,5.96861699887086E-06,6.33494349895045E-05
157,6.03255799796898E-06,6.39787830004934E-05
159,6.57089799642563E-06,6.51797780010384E-05
161,6.81348498619627E-06,6.63944300031289E-05
163,6.93577299534809E-06,7.46799760090653E-05
165,7.05702100822237E-06,7.74880350072635E-05
167,7.14655099727679E-06,7.57452609977918E-05
169,7.10880898986943E-06,7.94434679992264E-05
171,7.18731900269631E-06,7.86883739929181E-05
173,7.27115300833248E-06,7.95180420100223E-05
175,7.38128600642085E-06,7.8889395997976E-05
177,7.40947200392839E-06,7.4185558987665E-05
179,7.49806399107911E-06,7.62866150034824E-05
181,7.60919599269982E-06,7.6617521001026E-05
183,7.60440100566484E-06,7.7325242004008E-05
185,7.74319500487764E-06,7.86533479986247E-05
187,7.86398199852556E-06,8.13689950009575E-05
189,7.82962300581858E-06,8.02678600011859E-05
191,7.9729200078873E-06,8.16460229980294E-05
193,8.05165099154692E-06,9.22088169900235E-05
195,8.09546100208536E-06,8.55401339940727E-05
197,8.26860699453391E-06,8.88280420040246E-05
199,8.3296170050744E-06,8.80553150054766E-05
201,8.33950800006278E-06,8.7910082002054E-05
203,8.48838700039778E-06,8.98047569935443E-05
205,8.5710499988636E-06,9.09165819903137E-05
207,8.60981600999367E-06,9.20437689928804E-05
209,8.78409200231545E-06,9.29828999942401E-05
211,8.82660299248528E-06,9.40369840100175E-05
213,8.93406999239232E-06,9.31044530007057E-05
215,9.01410300866701E-06,9.63494659954449E-05
217,9.07804899907205E-06,9.53316859959159E-05
219,9.15217600413598E-06,9.70291039993754E-05
221,9.22058199648745E-06,9.99583510129014E-05
223,9.28087400097866E-06,9.89499099960085E-05
225,9.39545000437647E-06,0.000102123573
227,9.44799699936994E-06,0.000103108829004
229,9.54123800329398E-06,0.000103930683996
231,9.57863598887343E-06,0.000105008416998
233,1.01430079957936E-05,0.000106420208991
235,1.03565360041102E-05,0.000108133219008
237,1.05521769874031E-05,0.000109023687997
239,1.06640690064523E-05,0.00011771172499
241,1.07663229864556E-05,0.000111188609008
243,1.09388739947462E-05,0.000113047334002
245,1.0997753997799E-05,0.000113556152995
247,1.09430759912357E-05,0.000114854307001
249,1.11086919932859E-05,0.000116565848002
251,1.11784900072962E-05,0.000115498373998
253,1.1363370998879E-05,0.000120535473994
255,1.14243290008744E-05,0.000121042529994
257,1.13606149971019E-05,0.000121201805989
259,1.14465710066725E-05,0.000122271116008
261,1.14966559922323E-05,0.000123219219997
263,1.15084800054319E-05,0.000124313676992
265,1.15920029929839E-05,0.00012545069
267,1.20146560075227E-05,0.000126936136992
269,1.20783859892981E-05,0.000128338474999
271,1.21301019971725E-05,0.000129430859
273,1.22540450101951E-05,0.000130658302005
275,1.23709710023832E-05,0.000132038434007
277,1.25655960000586E-05,0.000133692454998
279,1.26195690099848E-05,0.000134996287001
281,1.2693484997726E-05,0.000135935708997
283,1.27980239922181E-05,0.000137528463005
285,1.28837829979602E-05,0.000138694329013
287,1.30238249985268E-05,0.000140243608999
289,1.32093230058672E-05,0.000141391526005
291,1.32191620068625E-05,0.000142680178993
293,1.33214700035751E-05,0.000144039806997
295,1.34826580033405E-05,0.000145281123987
297,1.35777109971968E-05,0.000146767528
299,1.36080899974331E-05,0.000147937606002
301,1.37548649945529E-05,0.000149174129998
303,1.38487789954524E-05,0.000150439860008
305,1.3933170994278E-05,0.000151770202006
307,1.4022560993908E-05,0.000153041529004
309,1.41011319938116E-05,0.000154702664993
311,1.41721800027881E-05,0.000155886694003
313,1.4562776996172E-05,0.000157053982999
315,1.50652180018369E-05,0.000157304855995
317,1.54787689971272E-05,0.000160004073987
319,1.56078580039321E-05,0.000161471495012
321,1.56848540063947E-05,0.000162359787006
323,1.5870711999014E-05,0.000163926352994
325,1.60150500014424E-05,0.000165678134988
327,1.60952470032498E-05,0.000167227080005
329,1.6192809009226E-05,0.000168332437999
331,1.63217010122025E-05,0.000170077563991
333,1.64131240017014E-05,0.000171654307997
335,1.64285199862206E-05,0.000172916265001
337,1.65324560075533E-05,0.000174048957007
339,1.67671270028222E-05,0.000175450472001
341,1.67222390009556E-05,0.000177015843001
343,1.68242829968222E-05,0.000178467175996
345,1.69258719979553E-05,0.00017976235901
347,1.69766330072889E-05,0.000180859464002
349,1.7126045000623E-05,0.000182861105
351,1.72355149989016E-05,0.000184007461998
353,1.74114069959614E-05,0.000185489223994
355,1.75234470079886E-05,0.000186766992003
357,1.75607569981366E-05,0.000188287904006
359,1.75914769934025E-05,0.000190148049005
361,1.77012630010722E-05,0.000191381394994
363,1.79620959970634E-05,0.000191341983998
365,1.79845520033268E-05,0.000194880898009
367,1.80750610015821E-05,0.000196609102
369,1.8145978989196E-05,0.000198225601009
371,1.82609350013081E-05,0.000199601732995
373,1.83156230050372E-05,0.000201084888002
375,1.84013919933932E-05,0.000202789411996
377,1.85137160005979E-05,0.000203565896998
379,1.86738939955831E-05,0.000205582944996
381,1.880719998735E-05,0.000206282388011
383,1.88455039897235E-05,0.000208610263988
385,1.89939089905238E-05,0.000209420415005
387,1.90354740043404E-05,0.000211115067999
389,1.91484940005466E-05,0.000217011348999
391,1.92949269985547E-05,0.000216138146003
393,2.00295999966329E-05,0.000215855445
395,2.05463579914067E-05,0.000218171190994
397,2.07731620030245E-05,0.000220644660003
399,2.08806770096999E-05,0.000221911788001
401,2.100766399235E-05,0.000223072416004
403,2.11183869978413E-05,0.000224906539006
405,2.12376220006263E-05,0.000226444966
407,2.13483150000684E-05,0.000228210481
409,2.13798909971956E-05,0.000229685958999
411,2.15448930102866E-05,0.000231388793996
413,2.17023669974878E-05,0.000233420795994
415,2.18520390044432E-05,0.000234821922
417,2.19414369930746E-05,0.000235114653013
419,2.20927280024625E-05,0.000238064371006
421,2.21802520100027E-05,0.000238442790011
